Pokemon,Type1,Type2,FastMove,FastType,ChargedMove,ChargedMoveType,Stamina,Attack,Defense,DPS,TDO,DPSxTDO,CP,Generation,Legendary,TypeColor
Deoxys (Attack Forme),Psychic,,Zen Headbutt,Psychic,Dark Pulse,Dark,100,414,40,21.035,102.4,"2,154.10","2,244",3,TRUE,deeppink1
Deoxys (Attack Forme),Psychic,,Poison Jab,Poison,Dark Pulse,Dark,100,414,40,20.871,101.6,"2,120.50","2,244",3,TRUE,deeppink1
Deoxys (Attack Forme),Psychic,,Zen Headbutt,Psychic,Psycho Boost,Psychic,100,414,40,18.897,92,"1,738.30","2,244",3,TRUE,deeppink1
Deoxys (Attack Forme),Psychic,,Poison Jab,Poison,Psycho Boost,Psychic,100,414,40,18.764,91.3,"1,714","2,244",3,TRUE,deeppink1
Rayquaza,Dragon,Flying,Dragon Tail,Dragon,Outrage,Dragon,210,312,180,18.616,492.3,"9,165.30","3,645",3,TRUE,cornflowerblue
Deoxys (Attack Forme),Psychic,,Zen Headbutt,Psychic,Zap Cannon,Electric,100,414,40,18.423,89.7,"1,652.30","2,244",3,TRUE,deeppink1
Rampardos,Rock,,Smack Down,Rock,Rock Slide,Rock,194,295,118,18.413,370.8,"6,826.80","3,298",4,FALSE,sienna4
Deoxys (Normal Forme),Psychic,,Zen Headbutt,Psychic,Thunderbolt,Electric,100,345,100,18.115,187.9,"3,404.50","2,749",3,TRUE,deeppink1
Deoxys (Attack Forme),Psychic,,Poison Jab,Poison,Zap Cannon,Electric,100,414,40,18.09,88.1,"1,593.20","2,244",3,TRUE,deeppink1
Mewtwo,Psychic,,Confusion,Psychic,Shadow Ball,Ghost,212,300,180,18.011,512.2,"9,224.60","3,982",1,TRUE,deeppink1
Palkia,Water,Dragon,Dragon Tail,Dragon,Draco Meteor,Dragon,180,308,235,17.91,583.2,"10,444.60","3,991",4,TRUE,dodgerblue2
Metagross,Steel,Psychic,Bullet Punch,Steel,Meteor Mash,Steel,160,257,250,17.797,568.5,"10,117","3,644",3,FALSE,darkslategray4
Salamence,Dragon,Flying,Dragon Tail,Dragon,Draco Meteor,Dragon,190,277,160,17.789,463.1,"8,238.40","3,532",3,FALSE,cornflowerblue
Gengar,Ghost,Poison,Shadow Claw,Ghost,Shadow Ball,Ghost,120,261,146,17.749,284.3,"5,046.70","2,619",1,FALSE,midnightblue
Rayquaza,Dragon,Flying,Air Slash,Flying,Outrage,Dragon,210,312,180,17.734,469,"8,317.80","3,645",3,TRUE,cornflowerblue
Mewtwo,Psychic,,Psycho Cut,Psychic,Shadow Ball,Ghost,212,300,180,17.474,496.9,"8,683.20","3,982",1,TRUE,deeppink1
Dialga,Steel,Dragon,Metal Claw,Steel,Draco Meteor,Dragon,200,302,235,17.356,596.1,"10,346.50","4,029",4,TRUE,darkslategray4
Palkia,Water,Dragon,Dragon Tail,Dragon,Hydro Pump,Water,180,308,235,17.301,563.4,"9,746.90","3,991",4,TRUE,dodgerblue2
Palkia,Water,Dragon,Dragon Breath,Dragon,Draco Meteor,Dragon,180,308,235,17.29,563,"9,733.50","3,991",4,TRUE,dodgerblue2
Moltres,Fire,Flying,Fire Spin,Fire,Sky Attack,Flying,180,251,179,17.258,464.7,"8,020.60","3,272",1,TRUE,firebrick
Metagross,Steel,Psychic,Zen Headbutt,Psychic,Meteor Mash,Steel,160,257,250,17.243,550.8,"9,496.80","3,644",3,FALSE,darkslategray4
Rampardos,Rock,,Smack Down,Rock,Outrage,Dragon,194,295,118,17.229,346.9,"5,977.20","3,298",4,FALSE,sienna4
Garchomp,Dragon,Ground,Dragon Tail,Dragon,Outrage,Dragon,216,261,188,17.19,630.3,"10,834.60","3,962",4,FALSE,cornflowerblue
Dragonite,Dragon,Flying,Dragon Tail,Dragon,Outrage,Dragon,182,263,199,17.148,506.4,"8,683.80","3,581",1,FALSE,cornflowerblue
